sample_set,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1_score
10-1,0.6211237944096428,0.6281466978265328,0.6244937069998471
10-2,0.5853690034380616,0.5857393513997733,0.5462592946195097
10-3,0.6403546325223346,0.8167107685754401,0.702304972178155
10-4,0.6641836323386893,0.7239902954188668,0.6867719440922635
10-5,0.6159863388384338,0.6976676590871623,0.6485261114788354
100-1,0.5696530814351424,0.5867446606606974,0.5277334914471251
100-2,0.6478859397922486,0.7850151189056458,0.696723803909099
100-3,0.6418538608380061,0.9115008436980839,0.7357805045744403
100-4,0.6270649298075671,0.9931209154035112,0.7669153348236052
100-5,0.6473724242270956,0.9338731137458254,0.7451908490767939
600-1,0.622098733718154,0.9975468774829175,0.7644520693845844
600-2,0.6278713629402757,1.0,0.7714016933207902
600-3,0.6186830015313936,1.0,0.7644276253547777
600-4,0.6352991968319898,0.9904972068149738,0.7671470176964111
600-5,0.6294335887322241,0.9785133761533811,0.7594113511615217
1000-1,0.6047430830039525,1.0,0.7536945812807881
1000-2,0.6324110671936759,1.0,0.774818401937046
1000-3,0.5515833701901813,0.5499951176642905,0.5256983854461801
1000-4,0.6641476871584342,0.8714772099027123,0.7422548841710519
1000-5,0.6365836791147994,0.929680181988492,0.7422641509433963
