iteration,duration
"(10, 1)",25.256019258499144
"(10, 2)",34.6597451766332
"(10, 3)",38.21640439828237
"(10, 4)",27.18713859319687
"(10, 5)",26.63106641372045
"(100, 1)",30.139445491631825
"(100, 2)",29.430953872203826
"(100, 3)",31.422035904725394
"(100, 4)",28.41020273367564
"(100, 5)",26.878356369336448
"(600, 1)",28.732802097002665
"(600, 2)",28.49577990372976
"(600, 3)",28.883313755194347
"(600, 4)",28.554107769330344
"(600, 5)",29.03876520792643
"(1000, 1)",28.577334296703338
"(1000, 2)",28.45606802304586
"(1000, 3)",29.928281386693318
"(1000, 4)",28.31802041530609
"(1000, 5)",29.085892804463704
